Unnamed: 0,Y_soft,Y_hard
4473,[0.61813122 0.33830687 0.04356188],[1. 0. 0.]
4474,[0.82368994 0.16628824 0.01002178],[0. 1. 0.]
4475,[0.00577887 0.03131539 0.96290576],[0. 1. 0.]
4476,[0.02062575 0.91418904 0.06518514],[0. 1. 0.]
4477,[0.00538497 0.31064782 0.68396717],[0. 1. 0.]
4478,[0.01213331 0.56369501 0.42417169],[0. 1. 0.]
4479,[0.00176826 0.00970222 0.9885295 ],[0. 0. 1.]
4480,[0.76193064 0.2023681  0.03570126],[0. 1. 0.]
4481,[0.08754412 0.6770063  0.23544955],[0. 1. 0.]
4482,[0.65325505 0.23520732 0.11153766],[1. 0. 0.]
4483,[0.9272421  0.06498469 0.00777322],[1. 0. 0.]
4484,[0.031281   0.77431929 0.19439965],[0. 1. 0.]
4485,[0.00150216 0.01309974 0.98539805],[0. 1. 0.]
4486,[0.73802865 0.18796746 0.07400394],[1. 0. 0.]
4487,[0.31439665 0.44392282 0.24168056],[0. 1. 0.]
4488,[0.00406257 0.03181885 0.9641186 ],[0. 0. 1.]
4489,[0.01443538 0.66169029 0.32387429],[0. 1. 0.]
4490,[0.00690684 0.05444298 0.93865019],[0. 1. 0.]
4491,[0.00787373 0.77201837 0.2201079 ],[0. 1. 0.]
4492,[0.00604195 0.04002544 0.95393264],[0. 0. 1.]
4493,[0.0032391  0.01654835 0.98021257],[0. 0. 1.]
4494,[0.0106448  0.56478626 0.42456895],[0. 1. 0.]
4495,[0.90608019 0.07972273 0.01419719],[1. 0. 0.]
4496,[0.00486536 0.0331245  0.96201015],[0. 0. 1.]
4497,[0.28645578 0.55231935 0.16122487],[1. 0. 0.]
4498,[0.07327557 0.81647503 0.11024939],[0. 0. 1.]
4499,[0.00365625 0.04436188 0.95198184],[0. 0. 1.]
4500,[0.00612882 0.04984755 0.94402361],[0. 0. 1.]
4501,[0.01354209 0.90379816 0.08265977],[0. 1. 0.]
4502,[0.07904877 0.66909647 0.25185481],[0. 1. 0.]
4503,[0.0098428  0.30059731 0.68955994],[0. 0. 1.]
4504,[0.85643423 0.12992805 0.01363778],[1. 0. 0.]
4505,[0.00257668 0.00682017 0.99060315],[0. 0. 1.]
4506,[0.89279169 0.09439009 0.01281823],[1. 0. 0.]
4507,[0.03358999 0.44392699 0.52248299],[0. 1. 0.]
4508,[0.48171997 0.48709676 0.03118329],[0. 1. 0.]
4509,[0.0082911  0.10005396 0.89165497],[0. 0. 1.]
4510,[0.10567339 0.53007108 0.36425549],[0. 1. 0.]
4511,[0.00218944 0.01176942 0.98604113],[0. 0. 1.]
4512,[0.10744493 0.82462656 0.06792843],[0. 1. 0.]
4513,[0.25631249 0.40233645 0.34135103],[1. 0. 0.]
4514,[0.73695439 0.23560379 0.02744186],[1. 0. 0.]
4515,[0.03088729 0.26641753 0.70269519],[0. 1. 0.]
4516,[0.02155706 0.59318173 0.38526121],[0. 1. 0.]
4517,[0.06410149 0.56961322 0.36628529],[0. 1. 0.]
4518,[0.02400682 0.39142442 0.58456874],[0. 0. 1.]
4519,[0.21643236 0.4986099  0.28495777],[0. 0. 1.]
4520,[0.92929053 0.06272534 0.00798411],[1. 0. 0.]
4521,[0.83263558 0.15686369 0.01050065],[1. 0. 0.]
4522,[0.00848045 0.04762819 0.94389135],[0. 0. 1.]
4523,[0.01209347 0.17781873 0.8100878 ],[0. 1. 0.]
4524,[0.02854753 0.34956691 0.62188554],[0. 1. 0.]
4525,[0.00194582 0.02817622 0.9698779 ],[0. 0. 1.]
4526,[0.88280535 0.09486948 0.02232517],[1. 0. 0.]
4527,[0.0222647  0.87875855 0.0989768 ],[0. 1. 0.]
4528,[0.00593996 0.09195456 0.90210551],[0. 0. 1.]
4529,[0.87586468 0.11685381 0.0072815 ],[1. 0. 0.]
4530,[0.6237905  0.31678429 0.05942523],[1. 0. 0.]
4531,[0.2197661  0.69748265 0.08275119],[0. 1. 0.]
4532,[0.01027263 0.72412306 0.26560435],[0. 1. 0.]
4533,[0.93928671 0.05137781 0.00933548],[0. 1. 0.]
4534,[0.04310143 0.7968064  0.16009218],[0. 1. 0.]
4535,[0.00253635 0.00707549 0.99038821],[0. 1. 0.]
4536,[0.00322815 0.00593972 0.99083215],[0. 0. 1.]
4537,[0.83861977 0.15044016 0.01094009],[0. 1. 0.]
4538,[0.52886337 0.3636629  0.10747375],[0. 0. 1.]
4539,[0.00899994 0.09034639 0.90065366],[0. 0. 1.]
4540,[0.00297987 0.0164458  0.98057425],[0. 0. 1.]
4541,[0.00406096 0.30357292 0.69236612],[0. 1. 0.]
4542,[0.00497848 0.45348948 0.54153204],[0. 1. 0.]
4543,[0.06518574 0.64550245 0.28931189],[0. 1. 0.]
4544,[0.08308697 0.22710948 0.68980348],[0. 1. 0.]
4545,[0.9402827  0.05427443 0.00544292],[1. 0. 0.]
4546,[0.01502619 0.63594431 0.34902948],[0. 1. 0.]
4547,[0.91259509 0.07624374 0.01116115],[1. 0. 0.]
4548,[0.22332168 0.70911664 0.06756172],[0. 1. 0.]
4549,[0.02819054 0.07070004 0.90110946],[0. 0. 1.]
4550,[0.00175317 0.01764919 0.98059767],[0. 0. 1.]
4551,[0.00418384 0.01604691 0.97976923],[0. 0. 1.]
4552,[0.90184474 0.08558804 0.01256718],[1. 0. 0.]
4553,[0.0110882  0.08230258 0.90660918],[0. 0. 1.]
4554,[0.39289111 0.52705222 0.08005667],[0. 1. 0.]
4555,[0.0039061  0.01265982 0.98343408],[0. 0. 1.]
4556,[0.83364767 0.15230972 0.01404263],[1. 0. 0.]
4557,[0.49147221 0.46055785 0.04796991],[0. 1. 0.]
4558,[0.59972566 0.35286495 0.04740946],[1. 0. 0.]
4559,[0.77008355 0.20299819 0.02691833],[1. 0. 0.]
4560,[0.20848586 0.76747227 0.02404187],[0. 1. 0.]
4561,[0.00266236 0.01065068 0.98668694],[0. 0. 1.]
4562,[0.02762234 0.14364602 0.82873166],[0. 0. 1.]
4563,[0.01773706 0.89504403 0.08721887],[0. 1. 0.]
4564,[0.00353205 0.03910515 0.95736277],[0. 0. 1.]
4565,[0.20288132 0.5476107  0.24950798],[0. 1. 0.]
4566,[0.85919994 0.12974767 0.01105235],[1. 0. 0.]
4567,[0.39546379 0.53605163 0.06848455],[0. 1. 0.]
4568,[0.00343627 0.01299963 0.98356414],[0. 0. 1.]
4569,[0.01396935 0.24637862 0.73965204],[0. 0. 1.]
4570,[0.16456756 0.45903501 0.37639743],[0. 1. 0.]
4571,[0.00932826 0.05129426 0.93937749],[0. 1. 0.]
4572,[0.15760264 0.70789295 0.13450445],[0. 1. 0.]
4573,[0.00322137 0.02093428 0.97584438],[0. 0. 1.]
4574,[0.04338444 0.8838498  0.07276572],[0. 1. 0.]
4575,[0.06226732 0.87955868 0.0581739 ],[0. 1. 0.]
4576,[0.01431183 0.93352032 0.05216787],[0. 1. 0.]
4577,[0.89158905 0.10295217 0.00545885],[1. 0. 0.]
4578,[0.00276173 0.01006053 0.98717773],[0. 0. 1.]
4579,[0.0027921  0.02184176 0.97536612],[0. 0. 1.]
4580,[0.00246288 0.01263461 0.98490256],[0. 0. 1.]
4581,[0.55221629 0.32884592 0.11893779],[1. 0. 0.]
4582,[0.8766135  0.11347248 0.00991404],[1. 0. 0.]
4583,[0.00332059 0.55466568 0.44201371],[0. 0. 1.]
4584,[0.47999519 0.39526692 0.12473789],[1. 0. 0.]
4585,[0.00221697 0.00954292 0.98824012],[0. 0. 1.]
4586,[0.5517031  0.41607872 0.03221823],[0. 1. 0.]
4587,[0.00156832 0.01794082 0.98049086],[0. 1. 0.]
4588,[0.35543206 0.59958696 0.04498096],[0. 1. 0.]
4589,[0.60556644 0.30217075 0.09226282],[0. 1. 0.]
4590,[0.00289839 0.01135725 0.98574442],[0. 0. 1.]
4591,[0.4262825  0.48653805 0.08717944],[1. 0. 0.]
4592,[0.08867121 0.37023273 0.54109609],[0. 1. 0.]
4593,[0.77517402 0.19657123 0.02825478],[0. 1. 0.]
4594,[0.01733184 0.89781725 0.08485091],[0. 1. 0.]
4595,[0.00160126 0.01503063 0.9833681 ],[0. 0. 1.]
4596,[0.00480554 0.61944509 0.37574941],[0. 1. 0.]
4597,[0.0779586  0.87236291 0.04967847],[0. 1. 0.]
4598,[0.7767114  0.20110117 0.02218747],[0. 1. 0.]
4599,[0.05183053 0.82788795 0.12028154],[0. 1. 0.]
4600,[0.76390636 0.18354104 0.05255251],[1. 0. 0.]
4601,[0.83949393 0.14606515 0.01444088],[0. 1. 0.]
4602,[0.09271516 0.30500993 0.60227489],[1. 0. 0.]
4603,[0.0031022  0.02259704 0.9743008 ],[0. 0. 1.]
4604,[0.05387452 0.77446389 0.17166157],[0. 1. 0.]
4605,[0.14461577 0.81835222 0.03703199],[0. 1. 0.]
4606,[0.93177819 0.05873191 0.00948994],[1. 0. 0.]
4607,[0.00563548 0.23608017 0.75828439],[0. 0. 1.]
4608,[0.28291672 0.66534764 0.05173561],[0. 1. 0.]
4609,[0.89028412 0.09828992 0.01142596],[1. 0. 0.]
4610,[0.02191314 0.29225364 0.68583322],[1. 0. 0.]
4611,[0.5777083  0.23375314 0.18853861],[1. 0. 0.]
4612,[0.01665069 0.09534686 0.88800251],[0. 1. 0.]
4613,[0.00436106 0.01375785 0.98188108],[0. 0. 1.]
4614,[0.92030513 0.07122002 0.00847479],[0. 0. 1.]
4615,[0.16907519 0.24149022 0.58943462],[1. 0. 0.]
4616,[0.00162943 0.0723132  0.92605734],[0. 1. 0.]
4617,[0.02762987 0.43932885 0.5330413 ],[1. 0. 0.]
4618,[0.06732901 0.87395    0.05872104],[0. 1. 0.]
4619,[0.0390339  0.14062074 0.82034534],[0. 1. 0.]
4620,[0.02807057 0.58864141 0.38328803],[0. 1. 0.]
4621,[0.08209183 0.51117545 0.40673274],[0. 0. 1.]
4622,[0.0031679  0.11326085 0.88357127],[0. 1. 0.]
4623,[0.65254337 0.33448049 0.01297616],[0. 1. 0.]
4624,[0.02187026 0.86921328 0.10891642],[0. 1. 0.]
4625,[0.00776371 0.43920735 0.55302894],[0. 1. 0.]
4626,[0.7064296  0.26723781 0.02633254],[1. 0. 0.]
4627,[0.00258547 0.04945047 0.94796407],[0. 0. 1.]
4628,[0.47704932 0.3106361  0.21231458],[0. 1. 0.]
4629,[0.0082877  0.03630154 0.95541078],[0. 0. 1.]
4630,[0.82957399 0.15205669 0.01836931],[1. 0. 0.]
4631,[0.13224235 0.70661074 0.16114685],[0. 1. 0.]
4632,[0.01867475 0.85828686 0.12303843],[0. 1. 0.]
4633,[0.59799081 0.38165951 0.02034969],[0. 1. 0.]
4634,[0.00452871 0.03670013 0.95877117],[0. 1. 0.]
4635,[0.0478912  0.36516145 0.58694732],[0. 1. 0.]
4636,[0.37041488 0.3807576  0.24882753],[0. 1. 0.]
4637,[0.74549598 0.13541922 0.11908477],[1. 0. 0.]
4638,[0.70069599 0.26821592 0.03108811],[0. 1. 0.]
4639,[0.00147232 0.01946821 0.97905946],[0. 0. 1.]
4640,[0.00327669 0.55682802 0.4398953 ],[0. 1. 0.]
4641,[0.10120318 0.81190002 0.08689681],[0. 1. 0.]
4642,[0.75595617 0.21713437 0.02690946],[1. 0. 0.]
4643,[0.80022335 0.18453932 0.0152373 ],[0. 1. 0.]
4644,[0.64786607 0.30410317 0.04803074],[0. 1. 0.]
4645,[0.17350475 0.3286261  0.49786919],[0. 1. 0.]
4646,[0.02625727 0.87409323 0.09964949],[0. 1. 0.]
4647,[0.00275989 0.00720031 0.99003977],[0. 0. 1.]
4648,[0.00608005 0.10367953 0.89024043],[0. 0. 1.]
4649,[0.599033   0.35835138 0.04261561],[0. 1. 0.]
4650,[0.64320028 0.33435369 0.022446  ],[1. 0. 0.]
4651,[0.00275067 0.00746072 0.98978859],[0. 0. 1.]
4652,[0.90982306 0.07835007 0.01182684],[1. 0. 0.]
4653,[0.92035884 0.07383723 0.00580389],[1. 0. 0.]
4654,[0.00385695 0.01851537 0.97762769],[0. 0. 1.]
4655,[0.00136894 0.0389973  0.95963377],[0. 0. 1.]
4656,[0.8423267  0.13822292 0.01945037],[1. 0. 0.]
4657,[0.02196236 0.26983193 0.7082057 ],[0. 1. 0.]
4658,[0.00322737 0.06956137 0.92721123],[0. 1. 0.]
4659,[0.39354974 0.56666273 0.03978756],[0. 1. 0.]
4660,[0.76012236 0.21045263 0.02942496],[1. 0. 0.]
4661,[0.06706314 0.8287105  0.10422638],[0. 1. 0.]
4662,[0.04635369 0.55826783 0.3953785 ],[0. 1. 0.]
4663,[0.24135064 0.71522075 0.04342861],[1. 0. 0.]
4664,[0.81818151 0.175448   0.00637046],[1. 0. 0.]
4665,[0.01059586 0.12923124 0.86017287],[0. 0. 1.]
4666,[0.77661812 0.20143205 0.02194977],[0. 1. 0.]
4667,[0.89260453 0.09988686 0.00750856],[1. 0. 0.]
4668,[0.84639293 0.13903323 0.01457383],[1. 0. 0.]
4669,[0.62125635 0.27215749 0.10658621],[0. 1. 0.]
4670,[0.19599344 0.13952968 0.66447687],[0. 1. 0.]
4671,[0.11242577 0.64385331 0.24372093],[0. 1. 0.]
4672,[0.6388067  0.30815378 0.05303958],[0. 1. 0.]
4673,[0.87684363 0.11522432 0.00793202],[1. 0. 0.]
4674,[0.01604067 0.15462467 0.82933468],[0. 1. 0.]
4675,[0.61119026 0.31489938 0.07391036],[1. 0. 0.]
4676,[0.0019534  0.02415161 0.97389507],[0. 0. 1.]
4677,[0.06209052 0.31282818 0.62508124],[0. 1. 0.]
4678,[0.00208805 0.01784853 0.98006344],[0. 0. 1.]
4679,[0.29174975 0.49879301 0.20945729],[0. 1. 0.]
4680,[0.00227388 0.00840685 0.98931926],[0. 0. 1.]
4681,[0.96095371 0.03356283 0.00548353],[1. 0. 0.]
4682,[0.93456    0.0592574  0.00618257],[1. 0. 0.]
4683,[0.00233735 0.01764862 0.98001397],[0. 0. 1.]
4684,[0.68441856 0.23392938 0.08165211],[1. 0. 0.]
4685,[0.04683041 0.2087054  0.74446422],[0. 0. 1.]
4686,[0.14049679 0.22104828 0.63845491],[0. 1. 0.]
4687,[0.1785931  0.32909873 0.49230814],[1. 0. 0.]
4688,[0.86377358 0.12817693 0.00804943],[1. 0. 0.]
4689,[0.00607674 0.02444163 0.96948171],[0. 0. 1.]
4690,[0.11435752 0.29638472 0.58925778],[1. 0. 0.]
4691,[0.02153828 0.24715649 0.73130524],[0. 1. 0.]
4692,[0.20891839 0.77140683 0.01967481],[0. 1. 0.]
4693,[0.00696765 0.04516951 0.94786286],[0. 0. 1.]
4694,[0.7982676  0.19258264 0.00914972],[1. 0. 0.]
4695,[0.03087782 0.24767113 0.72145104],[0. 0. 1.]
4696,[0.00308013 0.83819234 0.15872756],[0. 1. 0.]
4697,[0.01038222 0.03705104 0.9525668 ],[0. 0. 1.]
4698,[0.94270068 0.05047464 0.00682469],[1. 0. 0.]
4699,[0.23970899 0.55166411 0.2086269 ],[0. 1. 0.]
4700,[0.01338735 0.04215303 0.94445962],[0. 1. 0.]
4701,[0.00452846 0.01575058 0.97972095],[0. 0. 1.]
4702,[0.17861527 0.67950958 0.14187518],[0. 1. 0.]
4703,[0.17168178 0.54445714 0.28386116],[0. 1. 0.]
4704,[0.00359016 0.05097306 0.94543678],[0. 0. 1.]
4705,[0.85376906 0.13438913 0.01184182],[1. 0. 0.]
4706,[0.01250351 0.17021136 0.81728512],[0. 0. 1.]
4707,[0.00325445 0.76356196 0.23318353],[0. 1. 0.]
4708,[0.00429358 0.0213511  0.97435534],[0. 0. 1.]
4709,[0.0825983  0.25234249 0.66505915],[0. 1. 0.]
4710,[0.00936242 0.24022859 0.75040895],[0. 0. 1.]
4711,[0.00280554 0.02113831 0.9760561 ],[0. 0. 1.]
4712,[0.93277431 0.05378252 0.01344319],[1. 0. 0.]
4713,[0.00655481 0.76551408 0.2279311 ],[0. 1. 0.]
4714,[0.34539953 0.5166679  0.1379326 ],[0. 0. 1.]
4715,[0.18281235 0.75376278 0.06342484],[0. 1. 0.]
4716,[0.01303053 0.84625322 0.14071627],[1. 0. 0.]
4717,[0.01021299 0.49452525 0.4952617 ],[0. 1. 0.]
4718,[0.20225984 0.45394415 0.34379607],[0. 1. 0.]
4719,[0.17212036 0.38129228 0.44658732],[0. 1. 0.]
4720,[0.81174999 0.173406   0.01484404],[0. 1. 0.]
4721,[0.50923353 0.45282763 0.03793888],[0. 1. 0.]
4722,[0.00214113 0.00842403 0.9894349 ],[0. 0. 1.]
4723,[0.74255228 0.24379514 0.01365259],[1. 0. 0.]
4724,[0.00765521 0.94646072 0.04588416],[0. 1. 0.]
4725,[0.00435689 0.45476806 0.54087508],[0. 1. 0.]
4726,[0.0018904  0.01727344 0.98083615],[0. 0. 1.]
4727,[0.00340942 0.05194172 0.9446488 ],[0. 0. 1.]
4728,[0.0033612  0.0423243  0.95431453],[0. 0. 1.]
4729,[0.0276842  0.87264127 0.09967458],[0. 1. 0.]
4730,[0.0130821  0.48619458 0.50072336],[0. 1. 0.]
4731,[0.81454372 0.17171298 0.01374334],[1. 0. 0.]
4732,[0.00452847 0.81814086 0.17733057],[0. 1. 0.]
4733,[0.87619972 0.11079786 0.01300246],[1. 0. 0.]
4734,[0.73876244 0.24767782 0.01355981],[1. 0. 0.]
4735,[0.15693973 0.81387633 0.0291839 ],[0. 0. 1.]
4736,[0.00349654 0.02490128 0.97160214],[0. 1. 0.]
4737,[0.00347475 0.01208475 0.98444057],[0. 0. 1.]
4738,[0.00714356 0.11166448 0.88119191],[0. 1. 0.]
4739,[0.1377988  0.56094223 0.30125892],[0. 1. 0.]
4740,[0.00354173 0.01073329 0.98572493],[0. 0. 1.]
4741,[0.8451764  0.14106622 0.01375738],[1. 0. 0.]
4742,[0.00235064 0.06058606 0.93706334],[0. 0. 1.]
4743,[0.00957747 0.56782478 0.42259774],[0. 1. 0.]
4744,[0.15968165 0.32692116 0.51339716],[0. 0. 1.]
4745,[0.00425152 0.011015   0.98473352],[0. 0. 1.]
4746,[0.07799796 0.8817808  0.04022119],[0. 1. 0.]
4747,[0.82617748 0.16087766 0.01294484],[1. 0. 0.]
4748,[0.00258223 0.1720515  0.82536632],[0. 1. 0.]
4749,[0.56180072 0.32133639 0.11686298],[0. 1. 0.]
4750,[0.07947754 0.86733478 0.05318763],[0. 1. 0.]
4751,[0.88855952 0.09739188 0.01404855],[1. 0. 0.]
4752,[0.0078312  0.04765427 0.94451457],[0. 0. 1.]
4753,[0.39029539 0.46236399 0.14734064],[0. 1. 0.]
4754,[0.85007077 0.13506326 0.0148659 ],[0. 1. 0.]
4755,[0.87282085 0.11592034 0.01125876],[0. 1. 0.]
4756,[0.00624148 0.0556101  0.93814844],[0. 0. 1.]
4757,[0.3610611  0.29084858 0.34809035],[1. 0. 0.]
4758,[0.06644323 0.10880967 0.82474709],[0. 1. 0.]
4759,[0.01226684 0.03907638 0.9486568 ],[0. 0. 1.]
4760,[0.66833484 0.30447239 0.02719284],[0. 1. 0.]
4761,[0.03152553 0.71763074 0.25084367],[0. 1. 0.]
4762,[0.90434837 0.08710368 0.00854795],[1. 0. 0.]
4763,[0.04319825 0.19557261 0.76122916],[1. 0. 0.]
4764,[0.00213895 0.01071646 0.98714465],[0. 0. 1.]
4765,[0.87798327 0.10422202 0.0177947 ],[1. 0. 0.]
4766,[0.00495538 0.01418679 0.98085785],[0. 0. 1.]
4767,[0.80253088 0.18815264 0.00931645],[1. 0. 0.]
4768,[0.00790795 0.04450171 0.94759035],[0. 0. 1.]
4769,[0.08549742 0.24023119 0.6742714 ],[0. 0. 1.]
4770,[0.36302575 0.59742898 0.03954526],[1. 0. 0.]
4771,[0.84045237 0.13420998 0.02533766],[0. 1. 0.]
4772,[0.00105271 0.02553511 0.97341216],[0. 0. 1.]
4773,[0.95058084 0.04407911 0.00533995],[1. 0. 0.]
4774,[0.00302183 0.01253506 0.98444313],[0. 0. 1.]
4775,[0.00802454 0.82896167 0.16301379],[0. 1. 0.]
4776,[0.95315158 0.03957608 0.00727235],[1. 0. 0.]
4777,[0.00241815 0.02162315 0.9759587 ],[0. 0. 1.]
4778,[0.51745117 0.4421252  0.04042368],[0. 1. 0.]
4779,[0.01743195 0.75201118 0.23055682],[0. 1. 0.]
4780,[0.44425276 0.31742048 0.23832679],[1. 0. 0.]
4781,[0.00265351 0.01765842 0.97968799],[0. 0. 1.]
4782,[0.05649297 0.72302198 0.22048499],[0. 1. 0.]
4783,[0.00322902 0.07583752 0.92093349],[0. 0. 1.]
4784,[0.00204694 0.01394128 0.98401177],[0. 0. 1.]
4785,[0.37527946 0.56854898 0.05617161],[1. 0. 0.]
4786,[0.323645   0.63386959 0.04248545],[1. 0. 0.]
4787,[0.79075295 0.18972796 0.01951914],[0. 1. 0.]
4788,[0.45788565 0.45987391 0.08224042],[1. 0. 0.]
4789,[0.70804083 0.24544907 0.04651015],[1. 0. 0.]
4790,[0.00176406 0.12528552 0.87295038],[0. 1. 0.]
4791,[0.28542826 0.50252205 0.21204963],[1. 0. 0.]
4792,[0.71829063 0.25862539 0.02308395],[0. 1. 0.]
4793,[0.29378843 0.3383691  0.36784244],[1. 0. 0.]
4794,[0.00747297 0.07435764 0.91816944],[0. 1. 0.]
4795,[0.02013982 0.67367381 0.30618638],[0. 1. 0.]
4796,[0.13105437 0.6811235  0.18782212],[0. 1. 0.]
4797,[0.89359653 0.09749765 0.00890581],[1. 0. 0.]
4798,[0.69200224 0.29778099 0.01021678],[1. 0. 0.]
4799,[0.02601989 0.76323724 0.21074283],[0. 1. 0.]
4800,[0.67839032 0.30724576 0.01436386],[0. 1. 0.]
4801,[0.58801132 0.37774855 0.03424008],[0. 1. 0.]
4802,[0.00785849 0.34507376 0.64706779],[0. 1. 0.]
4803,[0.00994175 0.04846472 0.94159353],[1. 0. 0.]
4804,[0.0644733  0.83905238 0.09647432],[0. 1. 0.]
4805,[0.91538209 0.07403257 0.01058537],[1. 0. 0.]
4806,[0.0070883 0.0613947 0.931517 ],[0. 0. 1.]
4807,[0.95211214 0.04355909 0.0043288 ],[1. 0. 0.]
4808,[0.03394571 0.3888202  0.57723409],[0. 0. 1.]
4809,[0.79460186 0.19373295 0.01166516],[0. 1. 0.]
4810,[0.41086391 0.53556639 0.05356969],[0. 1. 0.]
4811,[0.0111351  0.0204053  0.96845955],[0. 0. 1.]
4812,[0.2563512  0.69701117 0.04663764],[1. 0. 0.]
4813,[0.00675039 0.03473154 0.95851809],[0. 0. 1.]
4814,[0.00198738 0.0179899  0.98002267],[0. 0. 1.]
4815,[0.28482267 0.55999571 0.15518166],[1. 0. 0.]
4816,[0.7551921  0.21426429 0.03054366],[1. 0. 0.]
4817,[0.07378712 0.76423955 0.1619733 ],[0. 1. 0.]
4818,[0.83950359 0.14814621 0.0123502 ],[1. 0. 0.]
4819,[0.52827138 0.42930597 0.04242265],[1. 0. 0.]
4820,[0.00301775 0.02947495 0.96750736],[0. 0. 1.]
4821,[0.9320696  0.06229205 0.00563833],[1. 0. 0.]
4822,[0.79652399 0.18821546 0.01526053],[1. 0. 0.]
4823,[0.1956843  0.70754772 0.09676797],[1. 0. 0.]
4824,[0.2101603  0.16823506 0.62160462],[1. 0. 0.]
4825,[0.66697341 0.26527631 0.06775019],[1. 0. 0.]
4826,[0.00361493 0.01157422 0.98481083],[0. 0. 1.]
4827,[0.40369356 0.46322748 0.13307896],[0. 1. 0.]
4828,[0.66234094 0.30133361 0.03632544],[0. 1. 0.]
4829,[0.00279263 0.01610824 0.98109919],[0. 0. 1.]
4830,[0.01657755 0.16364479 0.81977767],[0. 1. 0.]
4831,[0.79888713 0.18580087 0.01531205],[0. 1. 0.]
4832,[0.94239122 0.05085513 0.0067537 ],[1. 0. 0.]
4833,[0.0019778  0.01214681 0.98587543],[0. 0. 1.]
4834,[0.00399717 0.02611712 0.96988565],[0. 0. 1.]
4835,[0.00453751 0.01765157 0.97781098],[0. 0. 1.]
4836,[0.93094802 0.05894726 0.01010473],[1. 0. 0.]
4837,[0.3338463  0.52176142 0.14439227],[0. 0. 1.]
4838,[0.50081754 0.48412856 0.01505393],[1. 0. 0.]
4839,[0.04186822 0.74742347 0.21070834],[0. 1. 0.]
4840,[0.8720789  0.11237814 0.01554294],[1. 0. 0.]
4841,[0.02011872 0.40774366 0.57213765],[1. 0. 0.]
4842,[0.86146992 0.12790667 0.01062345],[0. 1. 0.]
4843,[0.03007963 0.11796174 0.85195863],[0. 0. 1.]
4844,[0.01134306 0.07528449 0.91337246],[0. 0. 1.]
4845,[0.44612634 0.47344434 0.08042942],[0. 1. 0.]
4846,[0.01052106 0.04939567 0.94008332],[0. 0. 1.]
4847,[0.20014857 0.19549461 0.60435683],[0. 1. 0.]
4848,[0.34956512 0.63370585 0.01672908],[1. 0. 0.]
4849,[0.0057681  0.45676064 0.53747123],[0. 1. 0.]
4850,[0.00775994 0.41699022 0.57524991],[0. 1. 0.]
4851,[0.0154419  0.24420281 0.74035525],[0. 0. 1.]
4852,[0.0246974  0.69077641 0.28452611],[0. 1. 0.]
4853,[0.0377394  0.57527673 0.3869839 ],[0. 1. 0.]
4854,[0.01006044 0.76628166 0.22365789],[0. 1. 0.]
4855,[0.00283794 0.04025642 0.95690566],[0. 1. 0.]
4856,[0.42288148 0.46634617 0.11077231],[0. 1. 0.]
4857,[0.58648324 0.19961374 0.21390299],[1. 0. 0.]
4858,[0.0034733  0.08179985 0.91472685],[0. 0. 1.]
4859,[0.91473764 0.07262971 0.01263265],[1. 0. 0.]
4860,[0.07059106 0.87006408 0.05934487],[1. 0. 0.]
4861,[0.01435563 0.85536796 0.13027643],[0. 1. 0.]
4862,[0.04200741 0.67971611 0.27827647],[0. 1. 0.]
4863,[0.00165352 0.04718599 0.95116049],[0. 1. 0.]
4864,[0.92410862 0.06822527 0.00766612],[1. 0. 0.]
4865,[0.11861468 0.50563115 0.37575409],[1. 0. 0.]
4866,[0.01228728 0.19217549 0.79553729],[0. 1. 0.]
4867,[0.01703526 0.94317025 0.03979459],[0. 1. 0.]
4868,[0.90972984 0.08221467 0.00805552],[1. 0. 0.]
4869,[0.19625217 0.32848006 0.47526771],[1. 0. 0.]
4870,[0.00880265 0.64797217 0.34322515],[0. 0. 1.]
4871,[0.52244103 0.45673856 0.02082044],[1. 0. 0.]
4872,[0.71770078 0.257227   0.02507216],[1. 0. 0.]
4873,[0.25016007 0.58256555 0.16727442],[0. 1. 0.]
4874,[0.95456094 0.04100306 0.00443595],[1. 0. 0.]
4875,[0.86626762 0.12623517 0.00749718],[1. 0. 0.]
4876,[0.03683079 0.60291409 0.36025509],[0. 1. 0.]
4877,[0.57216907 0.36816865 0.05966228],[1. 0. 0.]
4878,[0.66962796 0.17973611 0.15063594],[0. 1. 0.]
4879,[0.0037449  0.01291885 0.98333633],[0. 0. 1.]
4880,[0.85733324 0.13227907 0.01038768],[0. 1. 0.]
4881,[0.92663294 0.06087156 0.01249554],[1. 0. 0.]
4882,[0.87776363 0.11436274 0.00787369],[1. 0. 0.]
4883,[0.00194585 0.05310858 0.94494557],[0. 0. 1.]
4884,[0.00225684 0.01471963 0.98302358],[0. 0. 1.]
4885,[0.00988931 0.6433773  0.34673336],[0. 1. 0.]
4886,[0.91544318 0.07197792 0.01257894],[1. 0. 0.]
4887,[0.91262025 0.07576307 0.01161663],[1. 0. 0.]
4888,[0.01791298 0.92331076 0.05877618],[0. 1. 0.]
4889,[0.21449244 0.66894877 0.11655883],[0. 1. 0.]
4890,[0.00716724 0.02981146 0.96302128],[0. 0. 1.]
4891,[0.01133368 0.65753704 0.33112919],[0. 1. 0.]
4892,[0.75978607 0.20410457 0.03610932],[1. 0. 0.]
4893,[0.00985912 0.25974488 0.73039603],[0. 1. 0.]
